topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name,keywords,summary,wikipedia_url
10001,Tectonic and Geochronological Evolution of Orogens,1908,Geophysics,19,Earth and Planetary Sciences,3,Physical Sciences,Zircon; Geochronology; Tectonics; Granitic Rocks; Isotopic Composition; Subduction Zones; Mantle Evolution; Plate Tectonics; Thermodynamic Modeling; Continental Growth,"This cluster of papers focuses on the tectonic evolution and geochronological analysis of orogenic processes, with a particular emphasis on zircon geochemistry, isotopic composition, and thermodynamic modeling. It covers topics such as subduction zones, mantle evolution, plate tectonics, and the growth of continental crust.",https://en.wikipedia.org/wiki/Geochronology
10002,Advancements in Density Functional Theory,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences,Density Functional Theory; Dispersion Correction; Ab Initio Parametrization; Wavefunction Analyzer; Semiempirical Methods; Van der Waals Interactions; Continuum Solvation Models; Hybrid Density Functionals; Molecular Simulations; Electronic Structure Calculations,"This cluster of papers represents advancements in density functional theory, including the development of dispersion correction methods, ab initio parametrization, wavefunction analyzers, and continuum solvation models. It also covers topics such as semiempirical methods, van der Waals interactions, hybrid density functionals, molecular simulations, and electronic structure calculations.",https://en.wikipedia.org/wiki/Density_functional_theory
10003,Knowledge Management and Organizational Innovation,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences,Dynamic Capabilities; Knowledge Transfer; Business Models; Innovation Networks; Organizational Learning; Absorptive Capacity; Strategic Alliances; Social Capital; Resource-Based View; Market Orientation,"This cluster of papers revolves around the topics of knowledge management, organizational innovation, and strategic capabilities. It encompasses research on dynamic capabilities, knowledge transfer, business models, innovation networks, organizational learning, absorptive capacity, strategic alliances, social capital, resource-based view, and market orientation.",https://en.wikipedia.org/wiki/Knowledge_management
10004,Soil Carbon Dynamics and Nutrient Cycling in Ecosystems,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences,Soil Carbon Sequestration; Nitrogen Cycle; Microbial Communities; Climate Change; Biochar Application; Ecosystem Functioning; Soil Fertility; Organic Matter Dynamics; Nutrient Limitation; Global Biogeochemical Cycles,"This cluster of papers explores the dynamics of soil carbon, nitrogen cycling, and microbial communities in various ecosystems. It investigates topics such as soil carbon sequestration, biochar application, nutrient limitation, and the impact of climate change on soil fertility and ecosystem functioning. The research also delves into the interactions between soil microbial communities and plant diversity, with a focus on understanding global biogeochemical cycles.",https://en.wikipedia.org/wiki/Soil_carbon_dynamics
10005,Biodiversity Conservation and Ecosystem Management,2309,Nature and Landscape Conservation,23,Environmental Science,3,Physical Sciences,Biodiversity; Conservation; Ecosystem; Invasive Species; Functional Diversity; Habitat Fragmentation; Community Ecology; Global Change; Species Richness; Biological Invasions,"This cluster of papers focuses on the conservation and management of biodiversity and ecosystems, addressing topics such as the impact of habitat fragmentation, invasive species, functional diversity, and global change on species richness and community ecology. It also explores the implications for ecosystem services and the challenges in developing ecological indicators for biodiversity conservation.",https://en.wikipedia.org/wiki/Biodiversity_conservation
10006,Work Engagement and Organizational Behavior,1407,Organizational Behavior and Human Resource Management,14,"Business, Management and Accounting",2,Social Sciences,Work Engagement; Organizational Behavior; Job Demands-Resources Model; Mediation Analysis; Leadership; Employee Commitment; Psychological Capital; Job Satisfaction; Transformational Leadership; Human Resource Management,"This cluster of papers focuses on work engagement, organizational behavior, and related factors such as job demands-resources model, mediation analysis, leadership, employee commitment, psychological capital, job satisfaction, and human resource management. The papers explore the relationships between these factors and their impact on individual and organizational outcomes.",https://en.wikipedia.org/wiki/Work_engagement
10007,Macroeconomic Analysis and Policy Implications,2000,"General Economics, Econometrics and Finance",20,"Economics, Econometrics and Finance",2,Social Sciences,Monetary Policy; Fiscal Policy; Economic Growth; Financial Development; Business Cycles; Panel Data Analysis; Interest Rates; Exchange Rates; Inflation Dynamics; Structural Change,"This cluster of papers covers a wide range of topics in macroeconomic analysis, including monetary and fiscal policy, economic growth, financial development, business cycles, panel data analysis, interest rates, exchange rates, inflation dynamics, and structural change. The papers provide insights into the empirical and theoretical aspects of these macroeconomic phenomena and their implications for policy making.",https://en.wikipedia.org/wiki/Macroeconomics
10008,Teacher Professional Development and Identity Formation,3304,Education,33,Social Sciences,2,Social Sciences,Teacher Professional Development; Qualitative Research Methods; Teacher Identity; Educational Leadership; Technology Integration; Teacher Efficacy; Professional Learning Communities; School Improvement; Reflective Practice; Culturally Responsive Teaching,"This cluster of papers focuses on teacher professional development, qualitative research methods, teacher identity formation, educational leadership, technology integration in education, teacher efficacy, professional learning communities, school improvement, and reflective practice. It explores the challenges and strategies for improving teaching practices, fostering a supportive educational environment, and enhancing the effectiveness of professional development programs for educators.",https://en.wikipedia.org/wiki/Professional_development
10009,Diagnosis and Management of Alzheimer's Disease,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences,Alzheimer's Disease; Mild Cognitive Impairment; Dementia; Neuroimaging; Cognitive Decline; Biomarkers; Aging; Caregiver Burden; Vascular Risk Factors; Cognitive Training,"This cluster of papers focuses on the diagnosis, management, and impact of Alzheimer's disease, including its relationship with mild cognitive impairment, dementia, neuroimaging techniques, cognitive decline, biomarkers, aging, and the burden experienced by caregivers. It also explores the role of vascular risk factors and the potential benefits of cognitive training.",https://en.wikipedia.org/wiki/Alzheimer%27s_disease
10010,Global Trends in Obesity and Overweight Research,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences,Obesity; Overweight; Childhood; Prevalence; Health Effects; Physical Activity; Dietary Risks; Epidemiology; Public Health; Adolescents,"This cluster of papers covers a wide range of topics related to obesity and overweight, including global prevalence, health effects, childhood obesity, physical activity, dietary risks, and public health implications. The research encompasses epidemiological studies, systematic analyses, and reviews aimed at understanding the causes, consequences, and potential interventions for addressing the obesity epidemic.",https://en.wikipedia.org/wiki/Obesity
